dimension_id,group,field_name,question,evidence_state,observed_fact,evidence_url,evidence_type,observed_at,region,access_mode,confidence,actor,input,output,system_state,exception_path,cost_time,risk,dependency,inference,gap_reason,next_method,product_implication,metric_name,metric_value,metric_unit,metric_currency,metric_period,metric_territory,metric_classification,metric_method,metric_publisher,source_title,source_publication_date,validation_status,validation_errors,template_version
D52,D51-D60 Trust,buyer_verification,What buyer KYB/verification badge exists?,observed-not-found,No public guest-mode evidence found in the inspected page/source.,https://sourcingsupport.hktdc.com/hc/en-us/articles/360056894674-How-to-register-for-an-account-on-hktdc-com-Sourcing,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,medium,,,,,,,Do not infer capability from absence in guest evidence.,,,"Registration collects company information, but no buyer verification badge or KYB outcome was found in inspected public sources.",Inspect RFQ/buyer profiles and support documentation under authorized access.,Do not treat email/company fields as buyer verification.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D53,D51-D60 Trust,badges_certifications,Where are trust marks shown?,observed,Verification marks appear on product cards and supplier pages; certification guidance says marks can be filtered and compared.,https://sourcing.hktdc.com/newsbites/tips/certification/,official-guidance,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,buyer,,badge/certification cues,,,,Meaning differs by badge and must be scoped.,,,,,"Every badge record needs issuer, object, evidence and expiry/date.",,,,,,,,,,,,pass,,RND-D00-D73-v1
D54,D51-D60 Trust,ratings_reviews,Are buyer ratings/reviews visible?,observed-not-found,No public guest-mode evidence found in the inspected page/source.,https://sourcing.hktdc.com/en/Supplier-Store/Home/Simlux-Technology-Limited/1S00P1AAW,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,medium,,,,,,,Do not infer capability from absence in guest evidence.,,,No rating score or buyer-review module was visible on the inspected supplier page.,Inspect additional supplier/product pages and authenticated views.,Do not infer reputation score from verification badge or response time.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D55,D51-D60 Trust,fraud_reporting,Is a dedicated fraud/report action visible?,observed-not-found,No public guest-mode evidence found in the inspected page/source.,https://home.hktdc.com/en/s/terms-of-use,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,medium,,,,,,,Do not infer capability from absence in guest evidence.,,,"Terms prohibit fraudulent content, but a dedicated in-context report-fraud control was not observed.",Inspect listing menus and support request categories manually.,Policy prohibition and reporting UX are separate fields.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D56,D51-D60 Trust,moderation,Are prohibited conduct and enforcement rights documented?,observed,Terms prohibit unlawful/fraudulent/abusive content and automated collection; HKTDC may alter content/functionality.,https://home.hktdc.com/en/s/terms-of-use,official-policy,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,HKTDC; user,,,,,,Specific moderation queues and appeal states not described.,,,,,"Map policy rule, detection, action and appeal independently.",,,,,,,,,,,,pass,,RND-D00-D73-v1
D57,D51-D60 Trust,customer_support,Is support accessible?,observed,Homepage links Sourcing Support; official guidance directs users to customer support for onboarding.,https://sourcingsupport.hktdc.com/hc/en-us,official-support,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,buyer; supplier,,help center/contact path,,,,,,,,,"Capture channel, language, hours and case state when available.",,,,,,,,,,,,pass,,RND-D00-D73-v1
D58,D51-D60 Trust,support_sla,Are response/resolution SLAs published?,observed-not-found,No public guest-mode evidence found in the inspected page/source.,https://sourcingsupport.hktdc.com/hc/en-us,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,medium,,,,,,,Do not infer capability from absence in guest evidence.,,,No binding support response/resolution SLA was found on the inspected support landing/material.,Search service terms/package contract and contact support in a separately authorized check.,Do not convert marketing response times into support SLA.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D59,D51-D60 Trust,trust_education,Does platform educate buyers about verification?,observed,"Official certification guide explains marks, filters, comparison and third-party certificate verification.",https://sourcing.hktdc.com/newsbites/tips/certification/,official-guidance,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,buyer,,trust guidance,,,,,,,,,Pair trust cues with scope/explanation to reduce badge overinterpretation.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D60,D51-D60 Trust,enforcement_account_controls,Are account/content controls documented?,observed,"Terms prohibit unauthorized access, harmful/fraudulent content and automated collection; privacy policy and account support describe account data/control context.",https://home.hktdc.com/en/s/terms-of-use,official-policy,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,HKTDC; user,,,,,,Suspension/appeal state machine was not observed.,,,No explicit suspension/appeal sequence.,Review Sourcing-specific user agreement and listing policy.,Template must allow policy observed while enforcement workflow remains missing.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D61,D61-D68 Technical,language_localization,Which language/localization capabilities are visible?,observed,Guest homepage exposes a broad language selector; HKTDC states Message Centre supports 21 automatic translation languages.,https://sourcing.hktdc.com/newsbites/tips/hktdc-sourcing/,official-editorial-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,guest/account users,,localized UI and translated communication,,,,Translation quality and coverage were not tested.,,,,,Separate interface locale from machine-translated messages.,automatic translation languages claimed,21,languages,not applicable,publisher article current at access,global platform,Message Centre translation,direct transcription of publisher claim,Hong Kong Trade Development Council,Kickstart Your Sourcing in 2025 with HKTDC!,2025-01-06; modified 2025-03-25,pass,,RND-D00-D73-v1
D62,D61-D68 Technical,currency,Which currencies are displayed?,observed,Sample listing displays USD; supplier packages publish HKD and USD prices. Currency conversion behavior was not tested.,https://sourcing.hktdc.com/newsbites/become-a-supplier/ecommerce/en/,official-offer-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,buyer; supplier,,currency-labelled prices,,,,Display currency is not payment/settlement availability.,,,,,"Store display, quote, payment and settlement currency separately.",,,,,,,,,,,,pass,,RND-D00-D73-v1
D63,D61-D68 Technical,country_region,How is region represented?,observed,Supplier enrollment form exposes a country/region selector including Iran; supplier and RFQ pages display location/market labels. Eligibility was not tested.,https://sourcing.hktdc.com/newsbites/become-a-supplier/ecommerce/en/,official-offer-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,medium,registrant; buyer; supplier,,country/region attribute,,,,Presence in selector is not service/sanctions approval.,,,,,Never infer availability or compliance from selector presence.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D64,D61-D68 Technical,seo_metadata,Are basic SEO signals visible?,observed,"Fetched public pages expose descriptive HTML titles, headings and category/product breadcrumbs.",https://sourcing.hktdc.com/en/Product-Detail/LED-zigzag-strip-bendable-1Z03NRSP5,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,search engine; guest,,indexable title/breadcrumb content,,,,Canonical/meta/schema tags were not exhaustively inspected.,,,,,SEO template should identify exact tag and extraction method.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D65,D61-D68 Technical,url_patterns,Are page-type URL patterns stable and descriptive?,observed,"Observed paths distinguish Categories, Product-Catalog, Product-Detail, Supplier-Store and language prefix `/en/`, often with opaque IDs.",https://sourcing.hktdc.com/en/Categories,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,guest,,page-type URL taxonomy,,,,,,,,,Preserve human slug and stable opaque ID as separate fields.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D66,D61-D68 Technical,mobile_responsive,Is mobile behavior validated?,observed-not-found,No public guest-mode evidence found in the inspected page/source.,https://sourcing.hktdc.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,medium,,,,,,,Do not infer capability from absence in guest evidence.,,,No mobile viewport/device test was performed in this text-fetch execution.,Run manual responsive checks at defined viewports in a future UX/dossier task.,Do not infer responsive quality from mobile-oriented navigation labels.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D67,D61-D68 Technical,accessibility,Are WCAG/keyboard/screen-reader outcomes validated?,observed-not-found,No public guest-mode evidence found in the inspected page/source.,https://sourcing.hktdc.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,medium,,,,,,,Do not infer capability from absence in guest evidence.,,,"No keyboard, screen-reader, contrast or semantic accessibility audit was performed.",Run an authorized manual/automated accessibility test with tool/version and sampled pages.,"Accessibility requires test evidence, not visual assumption.",,,,,,,,,,,,pass,,RND-D00-D73-v1
D68,D61-D68 Technical,performance,Are load/performance metrics measured?,observed-not-found,No public guest-mode evidence found in the inspected page/source.,https://sourcing.hktdc.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,medium,,,,,,,Do not infer capability from absence in guest evidence.,,,"No Web Vitals, timing, payload or geography-controlled performance measurement was performed.","Use a reproducible performance harness with region, device, cache and run count.",Keep performance metrics out until measured.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D69,D69-D73 Commercial/policy,revenue_model,What monetization is publicly evidenced?,observed,"Supplier promotion packages are sold for 12-month periods; public page lists Introductory, Deluxe and Premium tiers with HKD/USD prices and differentiated entitlements.",https://sourcing.hktdc.com/newsbites/become-a-supplier/ecommerce/en/,official-offer-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,supplier,subscription/application,promotion/store entitlements,,,"Introductory package displayed at HK$3,800 or US$530 for 12 months; eligibility notes apply.",Prices/offers and country eligibility can change.,,,,,"Model plan, term, currency, eligibility and entitlement version.",Introductory supplier package price,3800,currency units,HKD,12 months,Hong Kong companies; page notes separate USD pricing for non-HK applicants,supplier promotion package,direct transcription; no conversion,Hong Kong Trade Development Council,Become a supplier | Ecommerce,page publication date not stated,pass,,RND-D00-D73-v1
D70,D69-D73 Commercial/policy,advertising_promoted_listings,Are paid exposure products evidenced?,observed,Premium supplier package includes an online banner advertisement for four consecutive days; supplier page also references promotion packages.,https://sourcing.hktdc.com/newsbites/become-a-supplier/ecommerce/en/,official-offer-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,supplier,,paid exposure entitlement,,,,"Placement, targeting and performance guarantees not observed.",,,,,"Advertising inventory needs duration, placement and disclosure fields.",Premium package banner duration,4,consecutive days,not applicable,within 12-month package,platform online banner,advertising entitlement,direct transcription,Hong Kong Trade Development Council,Become a supplier | Ecommerce,page publication date not stated,pass,,RND-D00-D73-v1
D71,D69-D73 Commercial/policy,promotions_merchandising,Are promotions/editorial merchandising visible?,observed,"Homepage exposes promotion banners, Top Picks, featured suppliers and new/best product links. Selection rules were not observed.",https://sourcing.hktdc.com/,direct-public-page,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,guest,,promotional discovery surfaces,,,,Organic versus paid/editorial placement may be unclear.,,,,,Record placement provenance and sponsorship disclosure.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D72,D69-D73 Commercial/policy,api_integrations,Are APIs or integrations evidenced?,observed,Official setup documents PayPal Business account linkage and shipping configuration; no public marketplace API documentation was found in scoped sources.,https://sourcingsupport.hktdc.com/hc/en-us/articles/360051428733-Configure-Online-Purchase-Setting-2-min-22-sec,official-support,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,supplier; third party,PayPal account ID and shipping settings,payment/shipping integration,,,,,,,Public developer API not observed.,Search official developer documentation only if an integration task is issued.,Distinguish configured partner integrations from public APIs.,,,,,,,,,,,,pass,,RND-D00-D73-v1
D73,D69-D73 Commercial/policy,data_content_policies,Which data/content policies apply?,observed,"Privacy policy describes account/company/contact/technical data collection, uses, retention principle and disclosure categories; Terms define Sourcing, conduct restrictions and ban automated collection.",https://home.hktdc.com/en/s/privacy-policy-statement,official-policy,2026-08-24,Amsterdam/NL sandbox; guest mode,guest; no account created,high,HKTDC; user,"personal, company, usage and content data",policy-governed processing,,,,"This is research summary, not legal advice; Sourcing-specific agreement may add terms.",Terms of Use and Sourcing-specific User Agreement,,,,"Store policy URL, version/access date, purpose, data category and downstream recipient.",,,,,,,,,,,,pass,,RND-D00-D73-v1
